"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"580","인천광역시 미추홀구 도화동","982","0982","0000","도화동신동아파밀리에","전세","84.6860","202409","10","26,000","0","10","2012","송림로 194","202411~202611","신규","-","","","아파트"
"581","인천광역시 미추홀구 주안동","1556-59","1556","0059","캐슬앤더샵","전세","84.9992","202409","09","34,000","0","27","2022","경원대로780번길 22","202410~202610","신규","-","","","아파트"
"582","인천광역시 미추홀구 도화동","982","0982","0000","도화동신동아파밀리에","전세","84.7280","202409","09","28,000","0","31","2012","송림로 194","202411~202611","신규","-","","","아파트"
"583","인천광역시 미추홀구 도화동","982","0982","0000","도화동신동아파밀리에","전세","84.7280","202409","09","28,000","0","31","2012","송림로 194","-","-","-","","","아파트"
"584","인천광역시 미추홀구 학익동","50","0050","0000","신동아8","월세","84.9600","202409","09","2,000","90","16","1997","매소홀로475번길 60","202410~202610","신규","-","","","아파트"
"585","인천광역시 미추홀구 도화동","1011","1011","0000","더샵인천스카이타워1단지","전세","84.9823","202409","09","40,000","0","17","2020","숙골로88번길 12","202502~202702","신규","-","","","아파트"
"586","인천광역시 미추홀구 도화동","1011","1011","0000","더샵인천스카이타워1단지","전세","74.9643","202409","09","35,000","0","30","2020","숙골로88번길 12","202410~202610","신규","-","","","아파트"
"587","인천광역시 미추홀구 학익동","744-1","0744","0001","힐스테이트학익","월세","73.9832","202409","09","3,000","130","23","2021","독배로251번길 24","202411~202611","신규","-","","","아파트"
"588","인천광역시 미추홀구 용현동","649","0649","0000","성원상떼빌","전세","84.9297","202409","09","20,699","0","3","2009","낙섬동로 104","202409~202612","신규","-","","","아파트"
"589","인천광역시 미추홀구 도화동","377-2","0377","0002","홈유레카","월세","64.7300","202409","09","1,500","80","7","2017","경인로325번길 9","202409~202609","신규","-","","","아파트"
"590","인천광역시 미추홀구 도화동","1011","1011","0000","더샵인천스카이타워1단지","전세","74.9643","202409","09","35,000","0","30","2020","숙골로88번길 12","202410~202610","신규","-","","","아파트"
"591","인천광역시 미추홀구 도화동","106-4","0106","0004","삼덕진주","전세","60.8550","202409","09","10,000","0","2","1984","석정로 311","202410~202610","신규","-","","","아파트"
"592","인천광역시 미추홀구 용현동","647","0647","0000","용현2단지금호타운","월세","84.5330","202409","09","3,000","100","2","2000","매소홀로 68","202410~202610","신규","-","","","아파트"
"593","인천광역시 미추홀구 용현동","572-3","0572","0003","용현동아","전세","84.5600","202409","09","15,876","0","9","1990","능해길 32","202410~202610","신규","-","","","아파트"
"594","인천광역시 미추홀구 주안동","1556-59","1556","0059","캐슬앤더샵","월세","84.9992","202409","08","5,000","140","2","2022","경원대로780번길 22","202409~202509","신규","-","","","아파트"
"595","인천광역시 미추홀구 주안동","가-","0000","0000","포레나미추홀","전세","76.5267","202409","08","39,000","0","37","2022","경인로 372","202411~202611","신규","-","","","아파트"
"596","인천광역시 미추홀구 관교동","13-11","0013","0011","동부(관교동부)","월세","84.8765","202409","08","3,000","90","2","1991","주승로 253","202410~202607","신규","-","","","아파트"
"597","인천광역시 미추홀구 용현동","664","0664","0000","인천 SK Sky VIEW","전세","84.9974","202409","07","37,000","0","36","2016","용정공원로 33","202411~202610","신규","-","","","아파트"
"598","인천광역시 미추홀구 도화동","1011","1011","0000","더샵인천스카이타워1단지","전세","74.9643","202409","07","35,000","0","27","2020","숙골로88번길 12","202501~202701","신규","-","","","아파트"
"599","인천광역시 미추홀구 학익동","686-12","0686","0012","현광2차","전세","84.4900","202409","07","19,500","0","17","2002","매소홀로418번길 14-13","202410~202610","신규","-","","","아파트"
"600","인천광역시 미추홀구 용현동","가-","0000","0000","용현자이크레스트","전세","84.9800","202409","07","34,500","0","10","2023","낙섬동로 134","202411~202611","신규","-","","","아파트"
"601","인천광역시 미추홀구 도화동","1040","1040","0000","주안역미추홀더리브","전세","74.4711","202409","07","25,000","0","4","2023","경인로325번길 27","202409~202609","신규","-","","","아파트"
"602","인천광역시 미추홀구 주안동","1621","1621","0000","관교한신휴플러스","월세","84.9539","202409","07","3,000","120","20","2010","경원대로 717","202410~202610","신규","-","","","아파트"
"603","인천광역시 미추홀구 숭의동","462","0462","0000","스타디움센트럴시티","월세","84.9171","202409","07","10,000","100","17","2022","참외전로 268","202411~202611","신규","-","","","아파트"
"604","인천광역시 미추홀구 용현동","664","0664","0000","인천 SK Sky VIEW","전세","84.9974","202409","07","37,000","0","36","2016","용정공원로 33","202411~202610","신규","-","","","아파트"
"605","인천광역시 미추홀구 주안동","가-","0000","0000","포레나미추홀","전세","70.9508","202409","07","36,000","0","35","2022","경인로 372","202411~202611","신규","-","","","아파트"
"606","인천광역시 미추홀구 주안동","718-2","0718","0002","석락맨숀아파트","월세","68.6300","202409","06","1,000","50","2","1978","인주대로291번길 6","202409~202609","신규","-","","","아파트"
